GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
1400000US21111010318,21111010318,"Census Tract 103.18, Jefferson County, Kentucky",5968,299,176,117,44,26,44,32,165,116,253,118,61,45,5225,321
1400000US21111010319,21111010319,"Census Tract 103.19, Jefferson County, Kentucky",4807,280,121,124,227,167,195,247,51,79,250,153,56,45,3907,360
1400000US21111010320,21111010320,"Census Tract 103.20, Jefferson County, Kentucky",3418,292,48,41,140,92,27,25,151,123,318,210,84,78,2650,273
1400000US21111010402,21111010402,"Census Tract 104.02, Jefferson County, Kentucky",6309,319,41,52,476,287,2,4,194,172,381,179,125,87,5090,416
1400000US21111010403,21111010403,"Census Tract 104.03, Jefferson County, Kentucky",3820,193,98,73,46,39,141,160,106,77,70,52,9,14,3350,231
1400000US21111010405,21111010405,"Census Tract 104.05, Jefferson County, Kentucky",4146,255,175,126,526,373,149,112,168,127,159,103,21,37,2948,426
1400000US21111010406,21111010406,"Census Tract 104.06, Jefferson County, Kentucky",5637,356,199,149,345,222,141,186,132,100,91,72,91,78,4638,408
1400000US21111010500,21111010500,"Census Tract 105, Jefferson County, Kentucky",3771,257,141,83,248,107,171,134,93,59,210,99,77,71,2831,261
1400000US21111010601,21111010601,"Census Tract 106.01, Jefferson County, Kentucky",3003,217,325,193,144,89,91,72,67,48,81,53,57,60,2238,211
1400000US21111010602,21111010602,"Census Tract 106.02, Jefferson County, Kentucky",3945,344,260,175,269,174,140,94,46,45,157,108,158,124,2915,356
1400000US21111010701,21111010701,"Census Tract 107.01, Jefferson County, Kentucky",4979,197,132,94,152,96,102,91,48,48,72,87,55,65,4418,232
1400000US21111010702,21111010702,"Census Tract 107.02, Jefferson County, Kentucky",5427,349,163,101,141,105,151,156,66,41,366,235,203,193,4337,305
1400000US21111010705,21111010705,"Census Tract 107.05, Jefferson County, Kentucky",5903,602,60,65,253,276,48,37,90,84,268,193,304,357,4880,646
1400000US21111010706,21111010706,"Census Tract 107.06, Jefferson County, Kentucky",3447,365,165,158,109,103,99,106,47,59,158,113,15,24,2854,390
1400000US21111010800,21111010800,"Census Tract 108, Jefferson County, Kentucky",3701,269,247,147,219,115,184,204,141,148,120,51,42,35,2748,298
1400000US21111010901,21111010901,"Census Tract 109.01, Jefferson County, Kentucky",4354,464,268,251,382,200,411,308,169,130,73,54,282,215,2769,477
1400000US21111010902,21111010902,"Census Tract 109.02, Jefferson County, Kentucky",4194,244,176,116,200,91,66,59,160,145,501,205,66,55,3025,299
1400000US21111011002,21111011002,"Census Tract 110.02, Jefferson County, Kentucky",4992,544,708,407,780,267,467,260,488,293,385,140,245,168,1919,413
1400000US21111011003,21111011003,"Census Tract 110.03, Jefferson County, Kentucky",5597,371,80,46,397,266,348,227,421,247,488,289,193,161,3670,516
1400000US21111011004,21111011004,"Census Tract 110.04, Jefferson County, Kentucky",6292,519,364,299,658,479,113,68,533,342,318,176,308,242,3998,454
1400000US21111011005,21111011005,"Census Tract 110.05, Jefferson County, Kentucky",2722,197,210,124,234,112,338,164,226,153,98,78,89,85,1527,248
1400000US21111011102,21111011102,"Census Tract 111.02, Jefferson County, Kentucky",6375,481,221,208,314,186,55,48,43,37,651,311,194,158,4897,605
1400000US21111011106,21111011106,"Census Tract 111.06, Jefferson County, Kentucky",6503,560,279,220,518,315,369,205,98,90,333,335,220,200,4686,587
1400000US21111011109,21111011109,"Census Tract 111.09, Jefferson County, Kentucky",2215,171,40,27,52,39,43,52,109,81,53,69,94,72,1824,173
1400000US21111011110,21111011110,"Census Tract 111.10, Jefferson County, Kentucky",5762,363,80,66,289,196,86,74,135,130,266,179,59,68,4847,443
1400000US21111011111,21111011111,"Census Tract 111.11, Jefferson County, Kentucky",5453,419,260,162,251,210,79,52,74,67,590,397,90,76,4109,506
1400000US21111011112,21111011112,"Census Tract 111.12, Jefferson County, Kentucky",3414,301,220,245,51,50,237,236,83,100,322,228,53,50,2448,268
1400000US21111011113,21111011113,"Census Tract 111.13, Jefferson County, Kentucky",2625,125,35,28,205,209,21,34,21,26,42,38,21,24,2280,223
1400000US21111011114,21111011114,"Census Tract 111.14, Jefferson County, Kentucky",5380,320,316,363,329,267,57,50,131,107,135,100,46,46,4366,369
1400000US21111011200,21111011200,"Census Tract 112, Jefferson County, Kentucky",5207,591,565,397,827,394,667,354,310,300,365,161,333,228,2140,430
1400000US21111011301,21111011301,"Census Tract 113.01, Jefferson County, Kentucky",2417,237,174,94,499,166,224,110,246,147,288,194,49,53,937,180
1400000US21111011302,21111011302,"Census Tract 113.02, Jefferson County, Kentucky",6820,748,822,469,1516,692,637,446,690,355,882,401,13,20,2260,472
1400000US21111011403,21111011403,"Census Tract 114.03, Jefferson County, Kentucky",1672,155,85,62,205,116,50,28,142,65,212,98,59,41,919,152
1400000US21111011404,21111011404,"Census Tract 114.04, Jefferson County, Kentucky",3163,278,539,224,600,177,247,107,265,158,293,141,94,76,1125,268
1400000US21111011405,21111011405,"Census Tract 114.05, Jefferson County, Kentucky",5630,696,562,274,617,280,231,168,568,428,442,201,312,211,2898,576
1400000US21111011406,21111011406,"Census Tract 114.06, Jefferson County, Kentucky",4605,367,356,197,348,194,241,122,201,162,384,239,145,90,2930,430
1400000US21111011505,21111011505,"Census Tract 115.05, Jefferson County, Kentucky",6337,467,136,90,693,355,192,140,34,37,551,380,76,106,4655,590
1400000US21111011506,21111011506,"Census Tract 115.06, Jefferson County, Kentucky",5554,587,0,16,838,338,245,232,115,113,307,262,222,272,3827,561
1400000US21111011508,21111011508,"Census Tract 115.08, Jefferson County, Kentucky",5032,376,214,135,347,316,62,62,18,22,455,285,73,105,3863,410
1400000US21111011509,21111011509,"Census Tract 115.09, Jefferson County, Kentucky",4112,317,136,106,433,234,415,256,429,275,421,246,181,193,2097,357
1400000US21111011513,21111011513,"Census Tract 115.13, Jefferson County, Kentucky",4573,346,99,95,480,264,269,222,120,102,247,223,64,55,3294,387
1400000US21111011514,21111011514,"Census Tract 115.14, Jefferson County, Kentucky",3261,222,112,125,78,82,74,97,139,107,178,129,19,22,2661,262
1400000US21111011515,21111011515,"Census Tract 115.15, Jefferson County, Kentucky",4962,216,49,41,235,283,205,177,107,88,298,176,53,46,4015,379
1400000US21111011516,21111011516,"Census Tract 115.16, Jefferson County, Kentucky",4281,303,50,32,286,262,189,225,158,121,377,171,126,163,3095,444
1400000US21111011517,21111011517,"Census Tract 115.17, Jefferson County, Kentucky",5763,330,176,195,301,182,160,166,62,59,189,161,72,72,4803,464
1400000US21111011518,21111011518,"Census Tract 115.18, Jefferson County, Kentucky",2558,106,0,11,7,11,54,59,57,58,18,26,77,75,2345,110
1400000US21111011519,21111011519,"Census Tract 115.19, Jefferson County, Kentucky",5134,303,46,31,129,97,148,89,161,123,376,204,33,29,4241,378
1400000US21111011520,21111011520,"Census Tract 115.20, Jefferson County, Kentucky",3630,231,31,40,52,53,10,18,0,11,36,51,0,11,3501,257
1400000US21111011601,21111011601,"Census Tract 116.01, Jefferson County, Kentucky",6159,379,55,46,33,37,196,192,0,16,115,95,53,55,5707,495
1400000US21111011603,21111011603,"Census Tract 116.03, Jefferson County, Kentucky",4431,313,67,75,84,105,0,11,91,60,246,265,65,74,3878,305
1400000US21111011604,21111011604,"Census Tract 116.04, Jefferson County, Kentucky",2620,159,23,29,30,26,85,58,78,94,131,83,36,44,2237,179
1400000US21111011706,21111011706,"Census Tract 117.06, Jefferson County, Kentucky",3802,239,16,20,75,49,72,53,297,175,80,70,127,101,3135,288
1400000US21111011707,21111011707,"Census Tract 117.07, Jefferson County, Kentucky",5103,614,343,352,310,206,0,16,183,168,229,285,29,34,4009,577
1400000US21111011708,21111011708,"Census Tract 117.08, Jefferson County, Kentucky",4765,340,85,67,93,95,112,75,140,122,253,165,320,238,3762,457
1400000US21111011709,21111011709,"Census Tract 117.09, Jefferson County, Kentucky",4082,223,46,36,155,109,60,56,94,46,335,209,45,42,3347,272
1400000US21111011710,21111011710,"Census Tract 117.10, Jefferson County, Kentucky",2884,343,282,224,280,179,383,261,47,40,330,214,101,126,1461,349
1400000US21111011711,21111011711,"Census Tract 117.11, Jefferson County, Kentucky",5400,501,130,106,213,183,126,134,102,80,785,368,0,16,4044,447
1400000US21111011712,21111011712,"Census Tract 117.12, Jefferson County, Kentucky",4362,440,164,163,239,174,85,116,81,79,941,600,176,121,2676,511
1400000US21111011713,21111011713,"Census Tract 117.13, Jefferson County, Kentucky",2618,319,287,274,300,213,122,107,233,172,108,84,16,26,1552,405
1400000US21111011800,21111011800,"Census Tract 118, Jefferson County, Kentucky",2577,305,177,82,299,174,151,104,102,75,285,124,174,88,1389,305
1400000US21111011901,21111011901,"Census Tract 119.01, Jefferson County, Kentucky",1472,282,178,110,514,285,77,88,220,251,119,137,53,48,311,149
1400000US21111011904,21111011904,"Census Tract 119.04, Jefferson County, Kentucky",2673,469,248,296,243,176,75,53,122,98,503,264,37,39,1445,319
1400000US21111011905,21111011905,"Census Tract 119.05, Jefferson County, Kentucky",7777,686,1024,457,990,463,382,204,362,239,577,308,292,185,4150,718
1400000US21111011906,21111011906,"Census Tract 119.06, Jefferson County, Kentucky",3153,374,479,292,690,322,96,100,222,186,163,119,76,54,1427,331
1400000US21111011907,21111011907,"Census Tract 119.07, Jefferson County, Kentucky",4314,298,204,118,132,98,100,71,189,138,354,195,169,75,3166,339
1400000US21111012001,21111012001,"Census Tract 120.01, Jefferson County, Kentucky",3302,300,280,189,307,148,200,128,219,129,230,117,60,65,2006,283
1400000US21111012002,21111012002,"Census Tract 120.02, Jefferson County, Kentucky",6225,723,496,325,649,349,430,362,877,593,558,389,182,172,3033,537
1400000US21111012003,21111012003,"Census Tract 120.03, Jefferson County, Kentucky",3839,433,78,83,637,370,268,171,170,110,261,217,132,149,2293,394
1400000US21111012103,21111012103,"Census Tract 121.03, Jefferson County, Kentucky",3125,251,115,107,373,215,50,57,175,129,227,146,40,36,2145,327
1400000US21111012104,21111012104,"Census Tract 121.04, Jefferson County, Kentucky",3718,323,285,170,326,207,326,170,73,51,194,122,171,126,2343,372
1400000US21111012105,21111012105,"Census Tract 121.05, Jefferson County, Kentucky",4932,337,118,68,276,194,495,374,372,266,127,70,138,152,3406,448
1400000US21111012106,21111012106,"Census Tract 121.06, Jefferson County, Kentucky",7889,595,256,167,364,299,320,266,465,262,427,237,313,282,5744,740
1400000US21111012107,21111012107,"Census Tract 121.07, Jefferson County, Kentucky",5991,545,120,105,823,374,293,194,284,184,287,183,422,257,3762,545
1400000US21111012202,21111012202,"Census Tract 122.02, Jefferson County, Kentucky",6720,721,182,182,775,420,245,243,345,346,256,188,1102,757,3815,628
1400000US21111012203,21111012203,"Census Tract 122.03, Jefferson County, Kentucky",6152,417,111,115,423,214,252,228,315,185,86,106,86,118,4879,515
1400000US21111012204,21111012204,"Census Tract 122.04, Jefferson County, Kentucky",4072,468,221,153,338,241,109,80,221,166,75,58,11,22,3097,466
1400000US21111012301,21111012301,"Census Tract 123.01, Jefferson County, Kentucky",3654,384,138,92,102,89,14,15,663,437,134,109,215,182,2388,269
1400000US21111012302,21111012302,"Census Tract 123.02, Jefferson County, Kentucky",5089,478,296,238,447,164,317,261,421,266,396,233,157,166,3055,516
1400000US21111012406,21111012406,"Census Tract 124.06, Jefferson County, Kentucky",5950,420,17,26,333,255,731,491,170,121,530,297,135,104,4034,535
1400000US21111012407,21111012407,"Census Tract 124.07, Jefferson County, Kentucky",4857,475,463,337,137,160,58,44,46,41,147,99,199,152,3807,454
1400000US21111012408,21111012408,"Census Tract 124.08, Jefferson County, Kentucky",2309,175,61,45,53,43,103,101,152,133,257,154,100,66,1583,273
1400000US21111012409,21111012409,"Census Tract 124.09, Jefferson County, Kentucky",3402,350,353,145,325,218,151,117,354,227,328,163,105,71,1786,348
1400000US21111012410,21111012410,"Census Tract 124.10, Jefferson County, Kentucky",4242,350,88,65,132,121,142,112,72,69,371,179,156,142,3281,391
1400000US21111012411,21111012411,"Census Tract 124.11, Jefferson County, Kentucky",7052,459,162,153,539,382,22,28,846,642,283,195,42,72,5158,665
1400000US21111012501,21111012501,"Census Tract 125.01, Jefferson County, Kentucky",2250,287,165,92,307,169,43,34,77,62,214,141,69,55,1375,327
1400000US21111012502,21111012502,"Census Tract 125.02, Jefferson County, Kentucky",5417,475,650,446,790,382,376,296,166,140,180,113,191,172,3064,524
1400000US21111012503,21111012503,"Census Tract 125.03, Jefferson County, Kentucky",3726,297,181,169,287,143,89,64,218,129,209,148,43,41,2699,257
1400000US21111012601,21111012601,"Census Tract 126.01, Jefferson County, Kentucky",7106,444,909,638,482,368,485,269,204,132,482,350,176,149,4368,536
1400000US21111012603,21111012603,"Census Tract 126.03, Jefferson County, Kentucky",2600,243,253,202,176,89,198,118,294,177,317,181,135,109,1227,272
1400000US21111012604,21111012604,"Census Tract 126.04, Jefferson County, Kentucky",5319,401,580,290,395,226,129,97,705,360,509,357,33,38,2968,504
1400000US21111012701,21111012701,"Census Tract 127.01, Jefferson County, Kentucky",3377,454,237,112,698,341,159,120,335,220,150,86,163,121,1635,282
1400000US21111012702,21111012702,"Census Tract 127.02, Jefferson County, Kentucky",1760,153,201,138,188,115,137,80,123,86,227,124,105,80,779,153
1400000US21111012703,21111012703,"Census Tract 127.03, Jefferson County, Kentucky",6200,595,457,268,897,504,248,183,262,199,612,377,507,375,3217,626
1400000US21111012801,21111012801,"Census Tract 128.01, Jefferson County, Kentucky",3438,528,666,506,474,216,393,265,137,62,603,279,131,92,1034,253
1400000US21111012802,21111012802,"Census Tract 128.02, Jefferson County, Kentucky",2681,326,197,119,564,269,228,197,303,243,149,126,40,42,1200,281
1400000US21111013100,21111013100,"Census Tract 131, Jefferson County, Kentucky",2017,105,11,8,32,14,23,11,23,18,50,24,20,14,1858,104
1400000US21111980100,21111980100,"Census Tract 9801, Jefferson County, Kentucky",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
